URL,GPE,LOC,NORP,ORG,PERSON,PRODUCT,WORK_OF_ART,url
55,14.0,,2.0,39.0,18.0,,,mtgrantgenhospital.org
56,10.0,2.0,1.0,35.0,18.0,,3.0,www.milfordhospital.org
57,4.0,4.0,,33.0,5.0,,1.0,www.fmh.org
58,4.0,1.0,,20.0,1.0,,1.0,www.ioshospital.com
59,1.0,1.0,,20.0,4.0,2.0,,www.billingsclinic.com
60,3.0,,,49.0,16.0,,8.0,www.rankenjordan.org
61,6.0,2.0,1.0,89.0,9.0,,2.0,www.oceanmedicalcenter.com
62,,,,,,,,www.chospital.org
63,1.0,,,5.0,4.0,,1.0,www.mchhs.org
64,9.0,2.0,54.0,29.0,7.0,2.0,3.0,www.ricehospital.com
65,,,,9.0,1.0,,,www.wuesthoff.com
66,15.0,2.0,,60.0,6.0,,3.0,www.archildrens.org
67,4.0,,,36.0,3.0,,1.0,umuch.org
68,2.0,1.0,,14.0,5.0,,2.0,www.wellstonehospital.com
69,8.0,,,27.0,19.0,,,www.reevescountyhospital.com
70,1.0,,,3.0,1.0,,,scottsdale.selectspecialtyhospitals.com
71,13.0,4.0,,28.0,25.0,,6.0,vhboise.com
72,5.0,,,18.0,1.0,2.0,,www.decaturhealthsystems.org
73,117.0,9.0,6.0,210.0,76.0,8.0,12.0,bestheartcare.com
74,13.0,2.0,,79.0,7.0,,8.0,www.nwhc.net
75,1.0,1.0,2.0,37.0,5.0,1.0,1.0,www.bhsc.com
76,,1.0,,5.0,4.0,,,www.russellhospital.org
77,10.0,2.0,2.0,177.0,63.0,25.0,2.0,www.cyfairhospital.com
78,1.0,1.0,,13.0,5.0,,,www.achosp.org
79,21.0,5.0,,86.0,30.0,1.0,1.0,www.centralfloridahealth.org
80,1.0,2.0,,21.0,7.0,3.0,2.0,www.gonzaleshealthcare.com
81,16.0,2.0,,48.0,30.0,1.0,3.0,www.torrancememorial.org
82,7.0,,1.0,46.0,10.0,,3.0,www.communitymed.org
83,13.0,1.0,1.0,295.0,93.0,21.0,22.0,www.sparrowspecialty.org
84,9.0,3.0,2.0,69.0,16.0,8.0,6.0,www.mmcoakridge.com
85,3.0,,,11.0,3.0,1.0,,www.tulareregional.org
86,72.0,16.0,20.0,259.0,85.0,10.0,21.0,www.aurorahealthcare.com
87,20.0,3.0,,65.0,6.0,1.0,3.0,westhillshospital.com
88,5.0,1.0,2.0,26.0,2.0,3.0,1.0,www.childrenshospitalmacon.org
89,4.0,7.0,1.0,112.0,9.0,3.0,2.0,www.mclaren.org
90,15.0,2.0,,71.0,7.0,,2.0,www.highlandsregional.com
91,20.0,,11.0,91.0,21.0,2.0,3.0,www.fhzeph.org
92,4.0,,1.0,15.0,9.0,,1.0,www.amhne.org
93,20.0,5.0,1.0,67.0,4.0,1.0,2.0,www.saintanneshospital.org
94,3.0,1.0,,30.0,6.0,1.0,2.0,www.southamptonhospital.org
95,11.0,3.0,1.0,51.0,11.0,2.0,3.0,www.stfrancishospitals.org
96,1.0,,,16.0,2.0,1.0,,www.bristolhospital.org
97,40.0,4.0,1.0,55.0,6.0,2.0,9.0,www.starsinc.com
98,11.0,2.0,,88.0,9.0,,2.0,www.winonahealth.org
99,8.0,2.0,3.0,45.0,5.0,,2.0,www.owatonnahospital.com
100,24.0,3.0,2.0,72.0,14.0,3.0,3.0,www.averastbenedict.org
101,1.0,1.0,1.0,8.0,3.0,,,www.fresnosurgicalhospital.com
102,3.0,1.0,,31.0,11.0,,2.0,www.umcsn.com
103,10.0,,,101.0,7.0,,1.0,www.reshealthcare.org
104,6.0,,,50.0,7.0,2.0,1.0,www.windbercare.org
105,3.0,,,37.0,8.0,1.0,4.0,www.centralcommunityhospital.com
106,15.0,1.0,,50.0,5.0,,1.0,www.lutheranhospital.org
107,5.0,,1.0,15.0,3.0,1.0,,www.holtonhospital.com
108,11.0,,2.0,58.0,3.0,2.0,2.0,www.rchc.us
109,10.0,,2.0,22.0,32.0,1.0,,www.hammondhenry.com
110,6.0,,,46.0,8.0,,,www.stlukeshospital.com
111,2.0,1.0,,26.0,3.0,,1.0,www.mchospital.org
112,5.0,5.0,,43.0,10.0,1.0,2.0,www.ebch.org
113,22.0,2.0,2.0,117.0,34.0,3.0,10.0,www.timpanogosregionalhospital.com
114,31.0,,8.0,380.0,76.0,6.0,40.0,www.chmkids.org
115,15.0,4.0,1.0,115.0,18.0,1.0,5.0,www.tuomey.com
116,1.0,1.0,2.0,27.0,3.0,,4.0,www.hutchhealth.com
117,9.0,1.0,3.0,64.0,5.0,1.0,,www.chmccook.org
118,,,,18.0,3.0,,,www.dorminymedical.org
119,10.0,,2.0,25.0,7.0,,2.0,www.pennockhealth.com
120,4.0,,,24.0,5.0,1.0,,blueridgesurgeryctr.com
121,8.0,1.0,,104.0,7.0,1.0,4.0,www.pohmedical.org
122,3.0,,1.0,18.0,,,3.0,www.cabrini.org
123,10.0,1.0,1.0,28.0,,1.0,4.0,www.baylorarlington.com
124,7.0,2.0,,36.0,6.0,,2.0,www.kindredlamirada.com
125,,,4.0,9.0,5.0,,1.0,www.mccordcenter.com
126,1.0,,1.0,9.0,2.0,,,www.morrillcountyhospital.org
127,3.0,,,46.0,8.0,1.0,4.0,www.wcchs.net
128,3.0,3.0,,45.0,13.0,,,www.riversedgehealth.org
129,18.0,1.0,2.0,42.0,18.0,2.0,3.0,www.ssm-select.com
130,4.0,1.0,,14.0,2.0,,4.0,www.mindenmedicalcenter.com
131,7.0,2.0,1.0,60.0,23.0,,1.0,www.abileneregional.com
132,3.0,1.0,,32.0,5.0,2.0,4.0,www.med.utah.edu
133,10.0,2.0,1.0,29.0,5.0,1.0,6.0,www.vhsandiego.com
134,3.0,,,26.0,5.0,,1.0,www.fairfaxsurgicalcenter.com
135,3.0,2.0,,89.0,10.0,,2.0,www.riverwoodhealthcare.com
136,1.0,1.0,,11.0,3.0,,1.0,www.franklinhospital.net
137,,,1.0,24.0,3.0,2.0,3.0,www.riverton-hospital.com
138,7.0,,,41.0,12.0,2.0,2.0,www.nrhrehab.org
139,3.0,,2.0,27.0,4.0,,2.0,www.healthsouthkingsport.com
140,14.0,3.0,6.0,103.0,9.0,2.0,4.0,www.virginiahospitalcenter.com
141,2.0,1.0,2.0,36.0,13.0,1.0,3.0,www.mysmh.org
142,14.0,1.0,2.0,110.0,3.0,1.0,2.0,www.uhmchealth.com
143,16.0,,2.0,25.0,13.0,2.0,4.0,www.ksrc.org
144,18.0,1.0,1.0,115.0,20.0,3.0,6.0,www.inlandhospital.org
145,50.0,3.0,4.0,39.0,226.0,5.0,1.0,www.hhc.org
146,10.0,1.0,1.0,37.0,12.0,2.0,,surgeryatsouthwoods.com
147,16.0,2.0,11.0,49.0,21.0,3.0,2.0,www.hhsc.org
148,3.0,,,33.0,3.0,,1.0,www.niobrarahospital.com
149,21.0,1.0,1.0,88.0,10.0,,6.0,www.mercy-chicago.org
150,,,,2.0,,,,www.summitmedicalcenter.net
151,3.0,,1.0,34.0,11.0,1.0,1.0,www.schospital.org
152,113.0,4.0,,164.0,58.0,2.0,4.0,www.plazamedicalcenter.com
153,9.0,,,57.0,10.0,,6.0,www.khphoenix.com
154,25.0,1.0,,163.0,65.0,1.0,18.0,www.gbmc.org
155,63.0,5.0,,316.0,12.0,2.0,5.0,www.baystatehealth.org
156,6.0,2.0,2.0,64.0,57.0,,2.0,www.oakeshospital.com
157,13.0,,,23.0,,2.0,1.0,www.lancasterregional.com
158,38.0,4.0,6.0,167.0,22.0,3.0,8.0,www.cvph.org
159,1.0,,,9.0,,,,www.sunburyhospital.com
160,5.0,,54.0,8.0,5.0,,,www.jeffersoncountyhospital.net
161,13.0,1.0,1.0,42.0,22.0,,,danville.selectspecialtyhospitals.com
162,54.0,10.0,7.0,269.0,42.0,5.0,15.0,www.stch.net
163,11.0,,1.0,40.0,6.0,1.0,,www.carolinasmedicalcenter.org
164,6.0,2.0,,55.0,9.0,1.0,2.0,www.tchospital.us
165,11.0,1.0,,31.0,15.0,3.0,,www.hearthospitallaf.net
166,12.0,4.0,2.0,39.0,3.0,,7.0,www.vhspringfield.com
167,8.0,2.0,2.0,151.0,27.0,,6.0,www.lakewoodregional.com
168,22.0,3.0,4.0,131.0,24.0,6.0,1.0,www.tridenthealthsystem.com
169,2.0,1.0,,15.0,,,,www.bmgh.org
170,2.0,,,25.0,3.0,1.0,,www.atriumhealthcare.net
171,11.0,5.0,1.0,47.0,2.0,,3.0,www.bchn.org
172,11.0,2.0,1.0,58.0,6.0,,1.0,www.arh.org
173,5.0,,,8.0,1.0,,2.0,www.fayettecountyhospital.org
174,10.0,1.0,,46.0,5.0,,1.0,www.tattnallhospital.com
175,1.0,,4.0,134.0,20.0,8.0,9.0,www.lanermc.org
176,23.0,5.0,6.0,92.0,28.0,1.0,4.0,www.universitymedicalcenter.com
177,22.0,1.0,,65.0,9.0,1.0,1.0,www.mpmhealth.com
178,8.0,2.0,,20.0,3.0,,2.0,www.sutterpsychiatry.org
179,4.0,3.0,2.0,20.0,3.0,,3.0,www.cardinalhill.org
180,2.0,,,12.0,7.0,,,www.wheelinghospital.org
181,16.0,1.0,3.0,145.0,43.0,1.0,6.0,www.placentialinda.com
182,1.0,,,7.0,,1.0,,www.rangelyhospital.com
183,12.0,2.0,2.0,44.0,6.0,1.0,3.0,www.baptisthealthmadisonville.com
184,8.0,,,40.0,2.0,3.0,5.0,www.georgetownuniversityhospital.org
185,3.0,,,31.0,2.0,1.0,2.0,www.childrens-mercy.org
186,18.0,,,51.0,6.0,1.0,1.0,www.springfieldhospital.org
187,8.0,3.0,2.0,60.0,8.0,2.0,3.0,www.orovillehospital.com
188,1.0,,,3.0,1.0,,,www.ballingerhospital.org
189,8.0,1.0,1.0,22.0,4.0,1.0,2.0,www.tsjh.org
190,1.0,,,1.0,1.0,2.0,,www.hutcheson.org
191,15.0,,,17.0,2.0,,,www.collingsworthgeneral.net
192,7.0,1.0,13.0,55.0,15.0,1.0,6.0,www.baptist-health.org
193,3.0,,,17.0,2.0,,1.0,www.mcmh.us
194,3.0,,,11.0,3.0,1.0,2.0,www.lubbockmhmr.org
195,11.0,2.0,,19.0,3.0,,,www.beaumont.edu
196,8.0,2.0,1.0,61.0,5.0,2.0,2.0,www.gvh-colorado.org
197,9.0,,5.0,29.0,11.0,1.0,2.0,www.tsrhc.org
198,26.0,2.0,2.0,117.0,17.0,4.0,6.0,tristarskyline.com
199,,,,,,,,www.atriummedicalcenter.com
200,9.0,,11.0,123.0,51.0,2.0,21.0,eastsidemedical.com
201,10.0,5.0,3.0,158.0,32.0,,6.0,www.worldclassmedicine.com
202,5.0,,,5.0,,,,www.amgihm.com
203,2.0,3.0,,35.0,5.0,7.0,,www.pawneevalleyhospital.com
204,7.0,,,24.0,3.0,,,www.stjoseph-wy.org
205,18.0,3.0,5.0,102.0,40.0,3.0,5.0,www.henryfordhealth.org
206,17.0,,3.0,75.0,33.0,1.0,6.0,www.carlsbadmedicalcenter.com
207,1.0,2.0,,22.0,4.0,,3.0,www.texashealthflowermound.com
208,1.0,,,17.0,,,1.0,www.comanchecmc.org
209,7.0,,,17.0,2.0,,,www.dileyridgemedicalcenter.com
210,21.0,10.0,1.0,77.0,11.0,2.0,2.0,www.ridgeviewinstitute.com
211,5.0,,,17.0,2.0,,,lighthousecarecenterofconway.com
212,19.0,3.0,1.0,80.0,32.0,,3.0,www.mosestaylorhospital.net
213,,,,8.0,1.0,1.0,2.0,www.pinnaclehealthcare.net
214,52.0,4.0,4.0,76.0,35.0,3.0,3.0,www.marthajefferson.org
215,16.0,,1.0,75.0,15.0,2.0,4.0,www.lakeviewregional.com
216,3.0,2.0,1.0,85.0,11.0,1.0,4.0,www.themedicalcenter.org
217,4.0,,1.0,27.0,4.0,,,www.hendrickshosp.org
218,1.0,,,24.0,1.0,,2.0,www.browncountyhospital.org
219,10.0,2.0,,42.0,5.0,1.0,,lexington.wakehealth.edu
220,8.0,,,49.0,11.0,,1.0,www.nortonhealthcare.com
221,8.0,1.0,1.0,15.0,7.0,1.0,1.0,www.stthomas.org
222,3.0,,2.0,81.0,9.0,4.0,6.0,www.bmcf.com
223,9.0,,,27.0,7.0,3.0,,www.southlyonmedicalcenter.org
224,60.0,2.0,,56.0,3.0,1.0,3.0,www.wth.org
225,2.0,2.0,,58.0,10.0,,4.0,www.wilsonhospital.com
226,3.0,,,10.0,,,,www.northsidemedicalcenter.net
227,17.0,2.0,1.0,38.0,7.0,,1.0,www.jeffdavishospital.org
228,11.0,,1.0,49.0,5.0,1.0,1.0,www.metrohealth.org
229,33.0,2.0,9.0,119.0,67.0,2.0,7.0,northhillshospital.com
230,7.0,1.0,14.0,28.0,24.0,,3.0,www.lairdhospital.com
231,15.0,4.0,4.0,64.0,12.0,,10.0,www.alegent.com
232,4.0,1.0,,17.0,2.0,,2.0,www.harrisoncommunity.com
233,7.0,2.0,,34.0,7.0,,3.0,www.shelteringarms.com
234,5.0,1.0,1.0,28.0,9.0,2.0,1.0,www.promiseregional.com
235,8.0,,,77.0,18.0,2.0,13.0,www.eatonrapidsmedicalcenter.org
236,33.0,,3.0,45.0,7.0,1.0,3.0,www.centralbap.com
237,5.0,1.0,1.0,70.0,3.0,,10.0,www.castlemed.org
238,2.0,,,32.0,3.0,,,haskellhospital.com
239,1.0,,1.0,27.0,4.0,,2.0,www.healthsouthplano.com
240,3.0,1.0,1.0,51.0,5.0,,2.0,www.stalexiushospital.com
241,12.0,1.0,1.0,23.0,8.0,,2.0,www.cmhosp.com
242,4.0,,,48.0,3.0,,4.0,www.flushinghospital.org
243,16.0,,,66.0,8.0,1.0,10.0,www.pariscommunityhospital.com
244,22.0,1.0,1.0,120.0,50.0,1.0,4.0,www.waynecountyhospital.org
245,17.0,,1.0,61.0,6.0,2.0,6.0,www.bergenregional.com
246,65.0,4.0,6.0,108.0,17.0,3.0,,www.kp.org
247,5.0,2.0,,27.0,3.0,,,www.tenlakescenter.com
248,,,,,,,,www.gvmc.com
249,1.0,,,36.0,1.0,,1.0,www.woodcountyhospital.org
250,14.0,,,30.0,28.0,1.0,3.0,www.kchd.org
251,15.0,,,77.0,13.0,1.0,2.0,www.theinfirmary.com
252,66.0,2.0,5.0,120.0,16.0,2.0,8.0,www.ajh.org
253,7.0,1.0,2.0,33.0,5.0,2.0,1.0,www.mhhcc.org
254,3.0,,,24.0,,,,www.guttenberghospital.org
255,5.0,,,27.0,3.0,,,www.greaterregional.org
256,12.0,2.0,2.0,25.0,12.0,,6.0,www.gordonmemorial.org
257,182.0,3.0,1.0,111.0,74.0,4.0,2.0,www.sanfordvermillion.org
258,3.0,1.0,,35.0,4.0,1.0,4.0,www.hchc.org
259,,,,,,,,www.methodistmckinneyhospital.com
260,25.0,1.0,1.0,160.0,31.0,5.0,14.0,www.frankfortregional.com
261,31.0,1.0,3.0,105.0,22.0,3.0,20.0,www.baymedical.org
262,6.0,1.0,,17.0,4.0,,3.0,www.palestineregional.com
263,4.0,1.0,1.0,21.0,8.0,1.0,1.0,www.highpointregional.com
264,21.0,4.0,3.0,134.0,19.0,,2.0,www.kendallmed.com
265,3.0,5.0,1.0,55.0,4.0,1.0,4.0,www.arroyograndehospital.org
266,5.0,,,81.0,6.0,1.0,3.0,www.christianhospital.org
267,11.0,2.0,2.0,152.0,18.0,1.0,8.0,www.nacmedicalcenter.com
268,10.0,2.0,,27.0,5.0,,,sandiego.aurorabehavioral.com
269,2.0,,1.0,21.0,2.0,2.0,,www.stanleyhealth.org
270,3.0,1.0,,43.0,27.0,6.0,2.0,www.drewmemorial.org
271,2.0,1.0,,30.0,6.0,4.0,3.0,www.dellchildrens.net
272,20.0,2.0,3.0,35.0,35.0,2.0,9.0,www.vhfortwayne.com
273,35.0,3.0,5.0,69.0,85.0,11.0,10.0,www.rrh.org
274,3.0,1.0,,104.0,14.0,,1.0,www.stanthonycommunityhosp.org
275,14.0,1.0,,45.0,3.0,,1.0,www.titusvillehospital.org
276,2.0,,,6.0,1.0,,,www.fishercountyhospital.com
277,3.0,,1.0,27.0,8.0,1.0,3.0,www.thcds.com
278,1.0,,,6.0,,,,www.ocmh.org
279,40.0,3.0,1.0,141.0,16.0,1.0,5.0,www.ropersaintfrancis.com
280,7.0,7.0,1.0,29.0,9.0,,2.0,www.dominicanhospital.org
281,8.0,3.0,1.0,343.0,39.0,2.0,51.0,www.wvhospital.com
282,164.0,1.0,2.0,114.0,225.0,1.0,2.0,www.oakleafmedical.com
283,51.0,1.0,1.0,51.0,15.0,1.0,5.0,www.rogershospital.org
284,3.0,2.0,,34.0,2.0,,1.0,www.swhealthcaresystem.com
285,14.0,2.0,3.0,155.0,17.0,1.0,5.0,www.hancockregional.org
286,7.0,1.0,,85.0,5.0,,16.0,www.laureate.com
287,5.0,1.0,,17.0,3.0,,1.0,www.cmccares.org
288,,,,2.0,,,,marengohospital.org
289,9.0,1.0,,17.0,9.0,,2.0,www.smhtx.com
290,2.0,,1.0,26.0,4.0,,2.0,www.midamericarehabhospital.com
291,9.0,,,28.0,10.0,2.0,2.0,www.baumharmon.org
292,10.0,5.0,,42.0,12.0,1.0,4.0,www.barnes-kasson.org
293,,,,2.0,,,,www.ottawaregional.org
294,6.0,1.0,1.0,68.0,17.0,2.0,6.0,www.stph.org
295,7.0,,,30.0,3.0,1.0,1.0,www.murraycountymed.org
296,2.0,,,12.0,7.0,,,wheelinghospital.org
297,9.0,6.0,2.0,79.0,27.0,2.0,5.0,www.riverregion.com
298,22.0,2.0,1.0,64.0,26.0,,1.0,www.franciscanskemp.org
299,83.0,4.0,,76.0,126.0,1.0,,www.athenslimestonehospital.com
300,3.0,1.0,,31.0,5.0,2.0,3.0,www.phoenixvillehospital.com
301,1.0,,1.0,20.0,,1.0,1.0,www.christuscoushatta.org
302,95.0,38.0,5.0,302.0,23.0,,3.0,www.stdavids.com
303,6.0,,,72.0,6.0,1.0,2.0,www.broadlawns.org
304,24.0,5.0,5.0,96.0,38.0,,2.0,www.gilberter.com
305,11.0,2.0,2.0,81.0,6.0,4.0,1.0,www.averamilbank.org
306,15.0,,1.0,35.0,1.0,,,www.vhi.org
307,63.0,4.0,4.0,525.0,47.0,15.0,20.0,www.hvsh.org
308,16.0,1.0,,44.0,5.0,4.0,,www.penrosestfrancis.org
309,3.0,,,10.0,3.0,,,www.corryhospital.com
310,16.0,2.0,,95.0,16.0,,3.0,www.guthrie.org
311,4.0,,,21.0,3.0,,2.0,www.stpatrickhospital.org
312,4.0,2.0,,29.0,3.0,,1.0,www.prairielakes.com
313,32.0,2.0,3.0,81.0,11.0,3.0,2.0,www.averaweskota.org
314,14.0,2.0,,38.0,5.0,2.0,2.0,www.khnorthland.com
315,5.0,7.0,,97.0,4.0,1.0,2.0,www.cmch.org
316,3.0,1.0,,36.0,3.0,1.0,3.0,www.ransom.org
317,5.0,2.0,,40.0,6.0,,4.0,www.memorialhealth.us
318,4.0,1.0,,31.0,19.0,,3.0,www.casshealth.org
319,15.0,4.0,,34.0,7.0,1.0,2.0,www.khnwindiana.com
320,23.0,,,35.0,17.0,,1.0,www.peakbehavioral.com
321,42.0,1.0,1.0,185.0,22.0,1.0,17.0,www.northsidehospital.com
322,9.0,5.0,1.0,107.0,33.0,1.0,5.0,www.eirmc.com
323,6.0,,,60.0,5.0,1.0,10.0,www.arheart.com
324,104.0,22.0,36.0,281.0,71.0,2.0,7.0,www.bronsonhealth.com
325,8.0,,1.0,69.0,6.0,4.0,3.0,www.granvillemedical.com
326,,,,11.0,3.0,2.0,1.0,www.ncch.com
327,8.0,,1.0,42.0,14.0,2.0,2.0,www.stmarysmadison.com
328,20.0,,1.0,66.0,7.0,2.0,4.0,www.lakewoodhealthsystem.com
329,6.0,1.0,,42.0,3.0,,2.0,www.goldenplains.org
330,9.0,1.0,2.0,98.0,9.0,,3.0,www.davishealthsystem.org
331,12.0,,1.0,73.0,10.0,2.0,2.0,www.kewaneehospital.com
332,4.0,1.0,,32.0,,3.0,1.0,anadarkohospital.com
333,9.0,1.0,,36.0,4.0,1.0,1.0,wmhcc.org
334,2.0,,,20.0,2.0,,,www.scotthospital.net
335,11.0,,,19.0,3.0,,8.0,www.thecenters.us
336,33.0,7.0,,100.0,16.0,5.0,16.0,www.hearthospitalofaustin.com
337,26.0,2.0,,62.0,8.0,,3.0,www.hmpartners.org
338,6.0,1.0,,48.0,6.0,1.0,,www.fultoncountyhealthcenter.org
339,11.0,1.0,,11.0,3.0,,1.0,www.wcrmc.com
340,18.0,2.0,1.0,53.0,4.0,,,www.lakeviewmed.org
341,3.0,,,10.0,3.0,,,www.braxtonmemorial.org
342,28.0,2.0,3.0,203.0,12.0,3.0,11.0,www.bethesdaweb.com
343,38.0,,,43.0,10.0,1.0,1.0,seabrookhouse.org
344,5.0,2.0,,22.0,7.0,1.0,1.0,www.smdh.net
345,5.0,6.0,2.0,48.0,4.0,3.0,2.0,www.sehealth.org
346,7.0,1.0,,93.0,12.0,2.0,3.0,www.hchospital.org
347,5.0,,,25.0,3.0,,1.0,www.eastlandmemorial.com
348,181.0,3.0,1.0,110.0,74.0,4.0,2.0,www.sanfordregionalworthington.org
349,8.0,3.0,3.0,66.0,6.0,,1.0,www.mercycare.org
350,3.0,,,36.0,11.0,,,www.mahnomenhealthcenter.com
351,9.0,,1.0,65.0,12.0,,2.0,gwhospital.com
352,6.0,,,38.0,6.0,,1.0,www.fcmc.org
353,4.0,,1.0,31.0,3.0,1.0,1.0,www.scmcinc.org
354,3.0,,,18.0,2.0,,2.0,www.grapehospital.com
355,,,,11.0,3.0,,1.0,www.stj.net
356,12.0,,,72.0,5.0,1.0,3.0,www.brentwoodbehavioral.com
357,28.0,5.0,5.0,57.0,34.0,3.0,5.0,www.addisonindependent.com
358,83.0,7.0,12.0,217.0,156.0,2.0,6.0,www.wregional.com
359,13.0,5.0,1.0,58.0,12.0,2.0,4.0,www.gpmedical.com
360,38.0,2.0,4.0,123.0,22.0,,5.0,www.highlandshospital.org
361,6.0,1.0,1.0,17.0,4.0,,1.0,www.cumberlandhallhospital.com
362,4.0,3.0,,53.0,8.0,,3.0,www.springvalleyhospital.com
363,13.0,2.0,1.0,93.0,17.0,2.0,3.0,www.osfstfrancis.org
364,33.0,2.0,,66.0,29.0,2.0,7.0,www.childrensal.org
365,7.0,1.0,1.0,42.0,11.0,1.0,,www.alicepeckday.org
366,9.0,2.0,,34.0,5.0,,2.0,www.kindredhospitalbrea.com
367,31.0,2.0,7.0,141.0,75.0,11.0,29.0,www.tristarcentennial.com
368,4.0,,1.0,93.0,9.0,2.0,,www.pcrmc.com
369,18.0,2.0,3.0,70.0,13.0,4.0,2.0,www.gregoryhealthcare.org
370,26.0,13.0,,911.0,247.0,59.0,5.0,www.egulfcoastmedical.com
371,11.0,1.0,,23.0,2.0,1.0,4.0,www.promise-phoenix.com
372,7.0,,3.0,9.0,5.0,1.0,,wagonerhospital.com
373,10.0,3.0,,58.0,13.0,1.0,2.0,www.aboutsmh.org
374,13.0,1.0,1.0,48.0,5.0,,1.0,www.kingsbrook.org
375,5.0,1.0,,54.0,6.0,1.0,,www.jordanhospital.org
376,6.0,1.0,3.0,83.0,8.0,2.0,4.0,hospital.uillinois.edu
377,4.0,6.0,1.0,44.0,7.0,,1.0,www.mdihospital.org
378,3.0,,1.0,35.0,10.0,1.0,,www.pchosp.org
379,31.0,,,95.0,17.0,,5.0,researchmedicalcenter.com
380,5.0,1.0,36.0,37.0,6.0,1.0,1.0,health.ucsd.edu
381,7.0,1.0,2.0,42.0,10.0,,4.0,www.emhia.com
382,6.0,5.0,,26.0,7.0,1.0,1.0,www.valleyhospital-phoenix.com
383,29.0,4.0,,36.0,5.0,,7.0,parkridgevalley.com
