URL,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,PART,PRON,PUNCT,SYM,VERB,url
75,106.0,71.0,25.0,34.0,46.0,153.0,14.0,10.0,35.0,99,2.0,112.0,www.bhsc.com
76,6.0,8.0,1.0,4.0,,80.0,20.0,,1.0,36,4.0,10.0,www.russellhospital.org
77,417.0,460.0,101.0,269.0,271.0,1517.0,492.0,129.0,66.0,825,154.0,717.0,www.cyfairhospital.com
78,9.0,15.0,1.0,10.0,11.0,17.0,8.0,4.0,1.0,13,2.0,23.0,www.achosp.org
79,205.0,236.0,48.0,99.0,147.0,531.0,18.0,40.0,8.0,263,4.0,243.0,www.centralfloridahealth.org
80,23.0,38.0,13.0,10.0,16.0,64.0,42.0,4.0,7.0,39,11.0,47.0,www.gonzaleshealthcare.com
81,60.0,79.0,23.0,19.0,43.0,126.0,26.0,11.0,22.0,98,11.0,82.0,www.torrancememorial.org
82,61.0,69.0,29.0,37.0,41.0,132.0,18.0,8.0,26.0,89,9.0,91.0,www.communitymed.org
83,142.0,182.0,54.0,140.0,103.0,384.0,50.0,44.0,20.0,208,25.0,204.0,www.sparrowspecialty.org
84,115.0,141.0,52.0,44.0,84.0,442.0,59.0,23.0,16.0,348,66.0,153.0,www.mmcoakridge.com
85,17.0,22.0,3.0,11.0,17.0,49.0,31.0,2.0,2.0,31,7.0,20.0,www.tulareregional.org
86,57.0,48.0,9.0,103.0,38.0,287.0,12.0,26.0,3.0,245,39.0,66.0,www.aurorahealthcare.com
87,108.0,114.0,27.0,46.0,52.0,227.0,99.0,19.0,29.0,164,23.0,147.0,westhillshospital.com
88,46.0,24.0,9.0,19.0,15.0,77.0,6.0,7.0,8.0,57,1.0,39.0,www.childrenshospitalmacon.org
89,33.0,37.0,12.0,29.0,18.0,73.0,20.0,12.0,4.0,36,6.0,47.0,www.mclaren.org
90,71.0,97.0,14.0,43.0,42.0,184.0,49.0,16.0,15.0,97,13.0,107.0,www.highlandsregional.com
91,97.0,90.0,25.0,39.0,79.0,218.0,39.0,33.0,27.0,104,4.0,159.0,www.fhzeph.org
92,17.0,29.0,7.0,9.0,21.0,65.0,13.0,6.0,8.0,42,3.0,38.0,www.amhne.org
93,115.0,116.0,18.0,48.0,66.0,247.0,87.0,22.0,30.0,160,22.0,138.0,www.saintanneshospital.org
94,31.0,19.0,3.0,18.0,10.0,60.0,8.0,3.0,2.0,21,3.0,28.0,www.southamptonhospital.org
95,106.0,113.0,26.0,58.0,58.0,279.0,39.0,10.0,19.0,153,22.0,129.0,www.stfrancishospitals.org
96,15.0,10.0,2.0,11.0,12.0,46.0,7.0,2.0,3.0,36,5.0,20.0,www.bristolhospital.org
97,34.0,35.0,14.0,24.0,23.0,159.0,20.0,5.0,4.0,183,20.0,44.0,www.starsinc.com
98,19.0,27.0,4.0,31.0,14.0,50.0,13.0,7.0,,32,5.0,26.0,www.winonahealth.org
99,60.0,63.0,13.0,34.0,36.0,200.0,18.0,16.0,18.0,75,13.0,109.0,www.owatonnahospital.com
100,154.0,165.0,28.0,88.0,93.0,435.0,50.0,33.0,38.0,204,11.0,187.0,www.averastbenedict.org
101,21.0,20.0,12.0,4.0,11.0,45.0,16.0,7.0,9.0,34,4.0,35.0,www.fresnosurgicalhospital.com
102,43.0,55.0,15.0,28.0,41.0,109.0,5.0,14.0,12.0,75,4.0,85.0,www.umcsn.com
103,22.0,30.0,14.0,21.0,18.0,94.0,11.0,8.0,5.0,53,12.0,43.0,www.reshealthcare.org
104,29.0,46.0,15.0,17.0,25.0,75.0,30.0,8.0,7.0,74,12.0,52.0,www.windbercare.org
105,14.0,21.0,3.0,10.0,5.0,48.0,17.0,6.0,2.0,35,1.0,21.0,www.centralcommunityhospital.com
106,59.0,55.0,7.0,42.0,26.0,110.0,13.0,5.0,7.0,71,3.0,65.0,www.lutheranhospital.org
107,16.0,20.0,3.0,8.0,6.0,40.0,24.0,2.0,1.0,26,9.0,16.0,www.holtonhospital.com
108,54.0,48.0,7.0,20.0,32.0,119.0,12.0,9.0,16.0,76,3.0,66.0,www.rchc.us
109,6.0,7.0,,6.0,3.0,20.0,35.0,10.0,,29,8.0,6.0,www.hammondhenry.com
110,17.0,27.0,5.0,21.0,22.0,61.0,14.0,5.0,2.0,40,12.0,34.0,www.stlukeshospital.com
111,10.0,15.0,1.0,12.0,7.0,39.0,16.0,1.0,4.0,23,1.0,13.0,www.mchospital.org
112,70.0,58.0,35.0,24.0,49.0,141.0,32.0,16.0,25.0,115,5.0,84.0,www.ebch.org
113,305.0,374.0,52.0,155.0,106.0,928.0,360.0,38.0,132.0,533,87.0,538.0,www.timpanogosregionalhospital.com
114,111.0,172.0,64.0,219.0,83.0,349.0,44.0,253.0,6.0,187,16.0,114.0,www.chmkids.org
115,118.0,110.0,26.0,61.0,81.0,356.0,64.0,16.0,26.0,145,36.0,185.0,www.tuomey.com
116,20.0,14.0,7.0,21.0,17.0,50.0,17.0,,6.0,31,4.0,36.0,www.hutchhealth.com
117,25.0,34.0,5.0,13.0,17.0,84.0,30.0,3.0,1.0,42,4.0,40.0,www.chmccook.org
118,6.0,8.0,1.0,4.0,5.0,13.0,6.0,1.0,1.0,14,1.0,6.0,www.dorminymedical.org
119,40.0,33.0,9.0,20.0,19.0,92.0,9.0,8.0,11.0,52,6.0,48.0,www.pennockhealth.com
120,46.0,35.0,7.0,13.0,19.0,90.0,30.0,3.0,10.0,73,8.0,40.0,blueridgesurgeryctr.com
121,36.0,40.0,14.0,24.0,22.0,84.0,72.0,15.0,7.0,75,2.0,73.0,www.pohmedical.org
122,43.0,41.0,9.0,12.0,24.0,75.0,6.0,5.0,12.0,33,1.0,53.0,www.cabrini.org
123,67.0,52.0,12.0,44.0,24.0,127.0,11.0,2.0,9.0,87,2.0,52.0,www.baylorarlington.com
124,66.0,69.0,29.0,22.0,36.0,149.0,37.0,18.0,21.0,77,8.0,93.0,www.kindredlamirada.com
125,5.0,2.0,,,,25.0,1.0,,,6,,2.0,www.mccordcenter.com
126,11.0,7.0,2.0,2.0,9.0,21.0,5.0,4.0,2.0,22,1.0,12.0,www.morrillcountyhospital.org
127,35.0,37.0,17.0,16.0,16.0,101.0,26.0,8.0,6.0,108,3.0,44.0,www.wcchs.net
128,52.0,58.0,9.0,39.0,36.0,144.0,27.0,8.0,17.0,63,3.0,72.0,www.riversedgehealth.org
129,129.0,99.0,21.0,47.0,63.0,211.0,29.0,31.0,18.0,100,2.0,109.0,www.ssm-select.com
130,19.0,25.0,6.0,13.0,20.0,51.0,19.0,5.0,3.0,34,3.0,37.0,www.mindenmedicalcenter.com
131,93.0,65.0,31.0,50.0,35.0,196.0,45.0,16.0,21.0,157,14.0,93.0,www.abileneregional.com
132,39.0,46.0,9.0,20.0,27.0,97.0,10.0,1.0,2.0,70,10.0,53.0,www.med.utah.edu
133,76.0,70.0,17.0,11.0,40.0,128.0,10.0,15.0,31.0,53,1.0,109.0,www.vhsandiego.com
134,51.0,36.0,5.0,14.0,17.0,87.0,21.0,5.0,12.0,66,8.0,47.0,www.fairfaxsurgicalcenter.com
135,29.0,16.0,8.0,29.0,15.0,58.0,30.0,6.0,2.0,30,20.0,23.0,www.riverwoodhealthcare.com
136,36.0,29.0,4.0,11.0,15.0,78.0,16.0,7.0,4.0,38,3.0,32.0,www.franklinhospital.net
137,20.0,20.0,11.0,23.0,16.0,60.0,26.0,6.0,8.0,52,4.0,37.0,www.riverton-hospital.com
138,76.0,80.0,27.0,20.0,54.0,164.0,40.0,11.0,12.0,83,10.0,81.0,www.nrhrehab.org
139,47.0,35.0,10.0,8.0,19.0,56.0,7.0,10.0,10.0,33,,52.0,www.healthsouthkingsport.com
140,120.0,76.0,28.0,66.0,63.0,194.0,24.0,23.0,8.0,144,15.0,120.0,www.virginiahospitalcenter.com
141,30.0,30.0,12.0,4.0,17.0,54.0,13.0,6.0,2.0,23,2.0,32.0,www.mysmh.org
142,95.0,101.0,21.0,50.0,37.0,202.0,92.0,8.0,20.0,137,22.0,105.0,www.uhmchealth.com
143,50.0,40.0,11.0,25.0,32.0,93.0,27.0,8.0,7.0,58,7.0,30.0,www.ksrc.org
144,68.0,78.0,31.0,32.0,29.0,127.0,58.0,28.0,15.0,111,10.0,76.0,www.inlandhospital.org
145,13.0,14.0,3.0,9.0,9.0,27.0,15.0,3.0,1.0,206,1.0,17.0,www.hhc.org
146,51.0,46.0,18.0,17.0,28.0,93.0,55.0,14.0,7.0,63,10.0,58.0,surgeryatsouthwoods.com
147,60.0,39.0,5.0,17.0,25.0,198.0,79.0,7.0,8.0,188,17.0,49.0,www.hhsc.org
148,39.0,31.0,9.0,21.0,23.0,90.0,19.0,9.0,5.0,60,3.0,48.0,www.niobrarahospital.com
149,27.0,40.0,8.0,52.0,29.0,106.0,13.0,8.0,5.0,48,10.0,52.0,www.mercy-chicago.org
150,2.0,8.0,1.0,2.0,7.0,30.0,5.0,1.0,1.0,17,2.0,18.0,www.summitmedicalcenter.net
151,60.0,46.0,9.0,32.0,19.0,131.0,20.0,9.0,21.0,82,1.0,71.0,www.schospital.org
152,587.0,568.0,98.0,216.0,273.0,1191.0,463.0,191.0,158.0,703,112.0,890.0,www.plazamedicalcenter.com
153,133.0,174.0,71.0,35.0,92.0,289.0,31.0,33.0,99.0,157,6.0,259.0,www.khphoenix.com
154,72.0,154.0,38.0,48.0,77.0,221.0,86.0,25.0,22.0,144,9.0,118.0,www.gbmc.org
155,63.0,73.0,14.0,74.0,37.0,156.0,33.0,17.0,21.0,253,12.0,74.0,www.baystatehealth.org
156,42.0,64.0,16.0,38.0,49.0,129.0,21.0,10.0,16.0,135,10.0,93.0,www.oakeshospital.com
157,11.0,17.0,2.0,7.0,7.0,38.0,24.0,3.0,1.0,41,8.0,17.0,www.lancasterregional.com
158,72.0,79.0,29.0,67.0,61.0,171.0,67.0,17.0,14.0,149,19.0,91.0,www.cvph.org
159,9.0,14.0,5.0,,5.0,22.0,4.0,6.0,2.0,21,2.0,17.0,www.sunburyhospital.com
160,81.0,19.0,4.0,10.0,14.0,42.0,3.0,4.0,14.0,32,,37.0,www.jeffersoncountyhospital.net
161,141.0,66.0,24.0,37.0,36.0,223.0,20.0,18.0,19.0,108,11.0,131.0,danville.selectspecialtyhospitals.com
162,99.0,124.0,47.0,112.0,82.0,340.0,72.0,23.0,25.0,250,40.0,166.0,www.stch.net
163,60.0,98.0,21.0,31.0,48.0,180.0,56.0,13.0,18.0,103,13.0,101.0,www.carolinasmedicalcenter.org
164,22.0,32.0,5.0,15.0,11.0,80.0,32.0,7.0,5.0,68,9.0,39.0,www.tchospital.us
165,60.0,59.0,23.0,28.0,44.0,134.0,15.0,7.0,15.0,57,4.0,89.0,www.hearthospitallaf.net
166,95.0,88.0,25.0,15.0,51.0,168.0,13.0,16.0,33.0,68,1.0,126.0,www.vhspringfield.com
167,105.0,82.0,33.0,122.0,47.0,259.0,18.0,32.0,24.0,97,5.0,101.0,www.lakewoodregional.com
168,87.0,103.0,25.0,37.0,54.0,226.0,117.0,17.0,10.0,220,28.0,120.0,www.tridenthealthsystem.com
169,14.0,11.0,,6.0,9.0,32.0,10.0,2.0,3.0,17,,15.0,www.bmgh.org
170,10.0,27.0,5.0,9.0,14.0,37.0,10.0,3.0,3.0,20,2.0,19.0,www.atriumhealthcare.net
171,12.0,15.0,7.0,2.0,12.0,34.0,18.0,4.0,6.0,28,2.0,20.0,www.bchn.org
172,26.0,44.0,13.0,10.0,28.0,77.0,14.0,5.0,9.0,33,1.0,43.0,www.arh.org
173,18.0,30.0,1.0,11.0,15.0,55.0,14.0,3.0,3.0,26,6.0,23.0,www.fayettecountyhospital.org
174,62.0,49.0,6.0,19.0,25.0,137.0,23.0,13.0,13.0,127,2.0,81.0,www.tattnallhospital.com
175,21.0,31.0,5.0,47.0,20.0,70.0,34.0,7.0,2.0,53,8.0,31.0,www.lanermc.org
176,85.0,76.0,38.0,42.0,33.0,225.0,56.0,21.0,14.0,215,10.0,103.0,www.universitymedicalcenter.com
177,13.0,19.0,2.0,6.0,9.0,53.0,3.0,19.0,2.0,30,2.0,20.0,www.mpmhealth.com
178,39.0,47.0,8.0,23.0,17.0,89.0,21.0,5.0,7.0,58,5.0,39.0,www.sutterpsychiatry.org
179,28.0,29.0,15.0,16.0,16.0,77.0,3.0,10.0,2.0,42,1.0,44.0,www.cardinalhill.org
180,7.0,9.0,2.0,3.0,5.0,29.0,16.0,4.0,2.0,32,10.0,10.0,www.wheelinghospital.org
181,138.0,106.0,40.0,125.0,67.0,354.0,38.0,40.0,34.0,163,12.0,147.0,www.placentialinda.com
182,13.0,9.0,2.0,3.0,2.0,23.0,8.0,2.0,2.0,15,3.0,13.0,www.rangelyhospital.com
183,31.0,35.0,10.0,47.0,17.0,70.0,24.0,13.0,11.0,51,11.0,45.0,www.baptisthealthmadisonville.com
184,66.0,90.0,28.0,33.0,57.0,200.0,29.0,15.0,10.0,85,12.0,113.0,www.georgetownuniversityhospital.org
185,23.0,31.0,6.0,20.0,16.0,86.0,4.0,9.0,2.0,66,14.0,39.0,www.childrens-mercy.org
186,24.0,24.0,4.0,15.0,9.0,75.0,16.0,3.0,3.0,38,5.0,19.0,www.springfieldhospital.org
187,23.0,20.0,5.0,18.0,25.0,71.0,18.0,2.0,10.0,14,1.0,35.0,www.orovillehospital.com
188,9.0,5.0,,,7.0,23.0,,3.0,2.0,11,,18.0,www.ballingerhospital.org
189,100.0,88.0,21.0,45.0,50.0,219.0,26.0,14.0,24.0,105,7.0,100.0,www.tsjh.org
190,11.0,17.0,3.0,2.0,19.0,37.0,3.0,4.0,6.0,17,1.0,44.0,www.hutcheson.org
191,42.0,40.0,14.0,18.0,24.0,99.0,39.0,3.0,1.0,85,7.0,71.0,www.collingsworthgeneral.net
192,57.0,39.0,13.0,19.0,32.0,119.0,9.0,16.0,17.0,74,8.0,79.0,www.baptist-health.org
193,19.0,32.0,7.0,13.0,17.0,50.0,11.0,4.0,8.0,32,2.0,35.0,www.mcmh.us
194,15.0,16.0,3.0,12.0,9.0,54.0,31.0,3.0,3.0,55,8.0,29.0,www.lubbockmhmr.org
195,26.0,22.0,4.0,13.0,8.0,63.0,10.0,1.0,3.0,28,3.0,19.0,www.beaumont.edu
196,56.0,63.0,13.0,26.0,40.0,130.0,24.0,9.0,20.0,68,2.0,84.0,www.gvh-colorado.org
197,66.0,39.0,14.0,25.0,21.0,113.0,25.0,6.0,10.0,41,4.0,60.0,www.tsrhc.org
198,124.0,150.0,50.0,86.0,141.0,457.0,133.0,57.0,34.0,246,35.0,230.0,tristarskyline.com
199,,,,,,,,,,2,,,www.atriummedicalcenter.com
200,387.0,348.0,109.0,222.0,343.0,1108.0,403.0,55.0,75.0,634,118.0,657.0,eastsidemedical.com
201,44.0,64.0,11.0,114.0,41.0,94.0,13.0,21.0,8.0,158,38.0,61.0,www.worldclassmedicine.com
202,28.0,21.0,9.0,7.0,11.0,50.0,4.0,2.0,6.0,30,2.0,26.0,www.amgihm.com
203,20.0,35.0,3.0,10.0,17.0,78.0,143.0,9.0,6.0,103,20.0,42.0,www.pawneevalleyhospital.com
204,32.0,26.0,6.0,14.0,11.0,75.0,16.0,16.0,2.0,44,3.0,31.0,www.stjoseph-wy.org
205,83.0,88.0,35.0,60.0,52.0,218.0,53.0,23.0,24.0,148,8.0,130.0,www.henryfordhealth.org
206,62.0,55.0,13.0,45.0,22.0,177.0,24.0,15.0,6.0,152,8.0,58.0,www.carlsbadmedicalcenter.com
207,13.0,24.0,9.0,14.0,13.0,57.0,14.0,4.0,2.0,33,10.0,26.0,www.texashealthflowermound.com
208,30.0,23.0,2.0,10.0,13.0,55.0,7.0,7.0,5.0,26,3.0,25.0,www.comanchecmc.org
209,26.0,29.0,8.0,14.0,28.0,54.0,9.0,1.0,4.0,44,9.0,27.0,www.dileyridgemedicalcenter.com
210,34.0,48.0,11.0,16.0,23.0,126.0,114.0,8.0,10.0,100,38.0,54.0,www.ridgeviewinstitute.com
211,36.0,31.0,9.0,17.0,19.0,83.0,11.0,2.0,3.0,36,2.0,40.0,lighthousecarecenterofconway.com
212,58.0,71.0,34.0,38.0,21.0,171.0,91.0,17.0,22.0,224,15.0,92.0,www.mosestaylorhospital.net
213,8.0,11.0,2.0,11.0,9.0,24.0,9.0,3.0,2.0,18,1.0,13.0,www.pinnaclehealthcare.net
214,86.0,77.0,26.0,60.0,47.0,188.0,17.0,13.0,23.0,113,7.0,130.0,www.marthajefferson.org
215,95.0,99.0,27.0,58.0,78.0,258.0,75.0,23.0,28.0,155,19.0,140.0,www.lakeviewregional.com
216,26.0,47.0,6.0,18.0,31.0,84.0,61.0,10.0,2.0,100,1.0,55.0,www.themedicalcenter.org
217,17.0,13.0,,7.0,7.0,40.0,10.0,3.0,3.0,25,5.0,15.0,www.hendrickshosp.org
218,6.0,5.0,5.0,3.0,3.0,15.0,23.0,5.0,,16,8.0,7.0,www.browncountyhospital.org
219,38.0,41.0,8.0,26.0,11.0,79.0,15.0,10.0,11.0,60,4.0,39.0,lexington.wakehealth.edu
220,80.0,73.0,25.0,49.0,62.0,250.0,23.0,34.0,32.0,119,7.0,133.0,www.nortonhealthcare.com
221,26.0,20.0,8.0,13.0,24.0,93.0,33.0,7.0,5.0,58,7.0,41.0,www.stthomas.org
222,43.0,47.0,13.0,45.0,39.0,117.0,9.0,10.0,11.0,73,12.0,58.0,www.bmcf.com
223,14.0,18.0,1.0,4.0,5.0,32.0,13.0,2.0,1.0,21,3.0,23.0,www.southlyonmedicalcenter.org
224,12.0,10.0,2.0,14.0,7.0,82.0,88.0,5.0,3.0,110,13.0,52.0,www.wth.org
225,13.0,35.0,3.0,21.0,16.0,86.0,12.0,2.0,1.0,44,3.0,33.0,www.wilsonhospital.com
226,10.0,9.0,6.0,1.0,4.0,33.0,3.0,2.0,1.0,12,2.0,18.0,www.northsidemedicalcenter.net
227,59.0,42.0,18.0,12.0,35.0,131.0,28.0,13.0,9.0,85,4.0,63.0,www.jeffdavishospital.org
228,17.0,24.0,7.0,7.0,23.0,93.0,13.0,3.0,7.0,32,11.0,24.0,www.metrohealth.org
229,191.0,470.0,84.0,192.0,425.0,1584.0,476.0,325.0,36.0,758,118.0,819.0,northhillshospital.com
230,64.0,68.0,8.0,22.0,48.0,145.0,50.0,6.0,12.0,135,10.0,83.0,www.lairdhospital.com
231,68.0,72.0,19.0,45.0,36.0,251.0,19.0,27.0,18.0,93,29.0,99.0,www.alegent.com
232,10.0,19.0,3.0,9.0,14.0,51.0,11.0,2.0,3.0,25,2.0,25.0,www.harrisoncommunity.com
233,21.0,23.0,13.0,23.0,29.0,56.0,41.0,4.0,17.0,52,6.0,47.0,www.shelteringarms.com
234,40.0,42.0,12.0,13.0,27.0,70.0,21.0,13.0,14.0,47,1.0,64.0,www.promiseregional.com
235,46.0,72.0,20.0,26.0,36.0,153.0,19.0,11.0,16.0,79,2.0,100.0,www.eatonrapidsmedicalcenter.org
236,30.0,35.0,10.0,57.0,20.0,72.0,27.0,11.0,17.0,60,11.0,62.0,www.centralbap.com
